
Тест: Уровень 1
Нажатие 1: 4.566 сек
Нажатие 2: 1.304 сек
Нажатие 3: 2.628 сек
Нажатие 4: 2.698 сек
Нажатие 5: 0.950 сек
Нажатие 6: 0.766 сек
Нажатие 7: 0.867 сек
Нажатие 8: 0.832 сек
Нажатие 9: 1.235 сек
Нажатие 10: 0.866 сек

Тест: Уровень 4
Нажатие 1: 1.733 сек
Нажатие 2: 0.582 сек
Нажатие 3: 0.582 сек
Нажатие 4: 0.550 сек
Нажатие 5: 0.650 сек
Нажатие 6: 0.933 сек
Нажатие 7: 0.699 сек
Нажатие 8: 1.117 сек
Нажатие 9: 1.117 сек
Нажатие 10: 0.716 сек

Тест: Уровень 1
Нажатие 1: 2.173 сек
Нажатие 2: 2.774 сек
Нажатие 3: 1.082 сек
Нажатие 4: 0.499 сек
Нажатие 5: 1.350 сек
Нажатие 6: 0.899 сек
Нажатие 7: 0.744 сек
Нажатие 8: 0.505 сек
Нажатие 9: 1.717 сек
Нажатие 10: 0.959 сек

Тест: Уровень 1
Нажатие 1: 1.041 сек
Нажатие 2: 1.006 сек
Нажатие 3: 0.584 сек
Нажатие 4: 1.028 сек
Нажатие 5: 1.104 сек
Нажатие 6: 0.767 сек
Нажатие 7: 1.032 сек
Нажатие 8: 0.917 сек
Нажатие 9: 1.283 сек
Нажатие 10: 0.966 сек

Тест: Уровень 1
Нажатие 1: 0.924 сек
Нажатие 2: 0.840 сек
Нажатие 3: 1.083 сек
Нажатие 4: 1.120 сек
Нажатие 5: 0.964 сек
Нажатие 6: 0.914 сек
Нажатие 7: 1.174 сек
Нажатие 8: 0.507 сек
Нажатие 9: 0.750 сек
Нажатие 10: 0.967 сек

Тест: Уровень 5
Нажатие 1: 1.448 сек
Нажатие 2: 1.032 сек
Нажатие 3: 0.550 сек
Нажатие 4: 0.751 сек
Нажатие 5: 1.115 сек
Нажатие 6: 0.616 сек
Нажатие 7: 0.935 сек
Нажатие 8: 0.532 сек
Нажатие 9: 0.649 сек
Нажатие 10: 0.917 сек

Тест: Уровень 1
Нажатие 1: 0.875 сек
Нажатие 2: 0.523 сек
Нажатие 3: 0.849 сек
Нажатие 4: 0.970 сек
Нажатие 5: 0.877 сек
Нажатие 6: 0.766 сек
Нажатие 7: 0.999 сек
Нажатие 8: 0.565 сек
Нажатие 9: 0.481 сек
Нажатие 10: 0.991 сек

Тест: Уровень 1
Нажатие 1: 0.857 сек
Нажатие 2: 1.007 сек
Нажатие 3: 0.550 сек
Нажатие 4: 0.881 сек
Нажатие 5: 0.499 сек
Нажатие 6: 0.583 сек
Нажатие 7: 0.866 сек
Нажатие 8: 0.752 сек
Нажатие 9: 0.764 сек
Нажатие 10: 0.633 сек

Тест: Уровень 1
Нажатие 1: 0.975 сек
Нажатие 2: 0.857 сек
Нажатие 3: 0.801 сек
Нажатие 4: 0.966 сек
Нажатие 5: 0.766 сек
